site,stars,lat,long,zip,ratings
7 Stars Pizzeria,2.5,40.7415085,-74.0317307,7030,10
99 Cent Fresh Pizza,3.5,40.7517,-73.97432,10017,10
Abitino's Pizzeria,2.5,40.74813886,-73.97361875,10016,10
Angelo's Pizza,3.5,40.76381699,-73.98274209,10019,10
Bravo Kosher Downtown,2,40.7068655,-74.0135997,10006,10
Cafe Amore's,2.5,40.7159,-74.0098,10007,10
Da Vinci Pizza,3,40.7037506,-74.0097275,10041,10
Daddy Greens,4,40.68076,-73.92889,11233,10
Domino's Pizza,2.5,40.7882385,-73.9711075,10024,10
Domino's Pizza,2,40.7998142,-74.0078952,7047,10
Famous Fmiglia Pizzeria,1.5,40.7521896,-73.9934616,10123,10
Famous Original Ray's Pizza,2,40.7631751,-73.9815334,10019,10
Favia Pizza,2.5,40.71991,-74.0425099,7302,10
Garlic New York Pizza Bar,3.5,40.7451897,-73.9759369,10016,10
Giovanni,3,40.81942,-73.92714,10451,10
Joey's Pepperoni Pizza,3.5,40.7182503,-74.0031891,10013,10
Jojo's Pizza,4.5,40.6551208,-73.9161224,11212,10
Little Italy,3,40.8481407,-74.0265884,7660,10
Little Italy Pizza,3,40.75014,-73.9909799,10001,10
Love & Dough,3.5,40.70299421,-73.98745029,11201,10
Majesty Pizza & Grill,2,40.7216549,-73.9809494,10009,10
New Millenium Pizza,3.5,40.8241755,-73.9454584,10031,10
Patzeria Perfect Pizza,4,40.75946539,-73.98678571,10036,10
Regina's Pizza,4.5,40.74706,-73.98311,10016,10
Roma's Pizza,3.5,40.78036,-73.95327,10128,10
Rose & Joe's Italian Bakery,4,40.77521996,-73.91185284,11105,10
Sal's Little Italy,3.5,40.72050272,-73.99669114,10013,10
Salerno Pizza,3.5,40.767289,-73.922863,11102,10
SnAKS at Saks Fifth Avenue,3.5,40.75797,-73.97681,10022,10
Stadium Pizza,4,40.7072487,-74.1012726,7305,10
Two Grandpa's Pizza,4,40.8482018,-73.907608,10453,10
Annabel,4,40.765841,-73.987619,10019,11
Bella Italia Restaurant,4.5,40.7661781,-74.033699,7087,11
Don Antonio By Starita,4,40.762711,-73.986708,10019,11
Don Filippo Restaurant,3.5,40.77461,-73.95899,10021,11
Famous Famiglia Pizzeria,3,40.7523994,-73.9929123,10001,11
Gotham Pizza,3.5,40.76297047,-73.98559785,10019,11
Great Burrito,4,40.7428322,-73.9930115,10011,11
Milk 'N Honey NYC,3,40.7556156,-73.9803596,10036,11
Papa John's Pizza,3,40.7605214,-73.9074715,11377,11
Parkside,4,40.655949,-73.959599,11225,11
Pazzo Pizza & Restaurant,3,40.74892,-73.97253,10017,11
Pizza King,1,40.7305908,-74.0559769,7306,11
Pizzeria Uno,2.5,40.70536804,-74.00267029,10005,11
Romano's Pizzeria,2,40.718108,-74.083598,7304,11
World Famous Ray's Pizza,3,40.7394598,-73.9954828,10011,11
World Pie,3.5,40.6806091,-73.9970041,11231,11
3 Bros Pizza,3.5,40.76871,-73.92474,11102,12
99 Cent Fresh Pizza,4,40.7546387,-73.9873276,10018,12
Angies Cafe & Pizza,4,40.81153,-73.92707,10451,12
Bellini Pizza & Mediterranean,2.5,40.78317,-73.95102,10128,12
Cucina Bene,3,40.705956,-74.0099226,10005,12
Francesco's,3.5,40.68357,-73.99945,11231,12
Gruppo Ristoratori Italiani,4,40.74731,-73.99679,10001,12
Krispy Pizza,4,40.7132111,-74.0355606,7302,12
Little Italy Pizza,3.5,40.7502738,-73.9909354,10001,12
Luigi's Pizza,3,40.76555,-73.98342,10019,12
Luigi's Pizzeria,3,40.7784309,-73.9486313,10128,12
Martiniello's Pizzeria,3.5,40.7041702,-73.9073105,11385,12
Pizza Party Time,2,40.8334219,-74.0103221,7657,12
Pizzarra's Restaurant & Pizzeria,4.5,40.77637,-74.02571,7087,12
Sbarro,1,40.73552331,-74.02913821,7030,12
Urban Coalhouse Pizza + Bar,3.5,40.75335033,-74.02640931,7030,12
14th Street Pizza Place,2.5,40.73258,-73.98623,10003,13
21 Greenpoint,4,40.7299,-73.95994,11222,13
Basil,3.5,40.6701228,-73.9422803,11213,13
Cafe Viva,3.5,40.7954099,-73.9709,10025,13
Chuck E Cheese's,2.5,40.81023,-73.95276,10027,13
Como Pizza,4,40.8421936,-73.9394302,10032,13
Custom Fuel Pizza,4,40.8087844,-73.9520398,10027,13
Le Paddock,4,40.6529503,-73.9758835,11218,13
Lenny's Pizza,3.5,40.7414513,-73.9202194,11104,13
Luna Pizza,4,40.71324568,-73.9986511,10038,13
Luna Pizza & Pasta,2.5,40.7822,-74.01204,7093,13
Nassau Pizza & Restaurant,3,40.7259712,-73.9418564,11222,13
Otto Strada,3.5,40.7463763,-74.03094598,7030,13
Park Avenue Pizza Cafe,3,40.7794228,-74.0148773,7086,13
Park Luncheonette,3.5,40.7217368,-73.950612,11222,13
Percy's Pizza,4,40.7290688,-74.0015182,10012,13
Tony Boloney's,4,40.7378974,-74.0343764,7030,13
Buca di Beppo Italian Restaurant,3.5,40.75798,-73.98531,10036,14
CJ's Pizza Box,2.5,40.85171,-74.0446,7643,14
Joe's Pizzeria,3,40.65863,-73.98171,11215,14
Lombardi's Pizza,4,40.72164,-73.9957,10012,14
Michael's,3.5,40.7620314,-73.9764479,10019,14
Milkflower,4,40.7628961,-73.9207081,11106,14
Papa John's Pizza,2,40.73953,-73.92458,11104,14
Patsys Pizzeria,4.5,40.6818695,-73.976181,11217,14
Picasso Pizza,3,40.71031924,-74.01635296,10280,14
Roberta's Pizza,4,40.75451707,-73.976597,10169,14
Villa Pazzo,3,40.73236,-74.00377,10014,14
42nd Street Pizza,2.5,40.7619413,-74.0001028,10036,15
99 Cents Fresh Pizza,4,40.7264595,-73.9895782,10003,15
Cozzi Pizza,3,40.7037697,-73.9474869,11206,15
Crown Fried Chicken Pizza & Coffee Shop,2.5,40.69167,-73.94539,11216,15
Francesco's Pizzeria,2.5,40.73118,-74.00043,10012,15
Franklin Pizza,3,40.7296715,-73.9578094,11222,15
Grimaldi's,3.5,40.74123,-73.9937999,10010,15
La Pizza & La Pasta,4,40.71024193,-74.01244604,10006,15
La Traviata Pizzeria,3.5,40.77505,-73.98088,10023,15
Natoli's Deli,4.5,40.7950783,-74.0631638,7094,15
New Fresh Pizza,4.5,40.6506679,-73.95222966,11226,15
Nina's,3,40.7219316,-73.9417588,11222,15
Patsy's Pizzeria,3.5,40.73292,-73.99347,10003,15
Patsy's Pizzeria,3.5,40.778389,-73.9766388,10023,15
Pete's Place,3.5,40.6469612,-74.0229187,11220,15
Phil's Steaks,3.5,40.73648,-73.99076,10003,15
Pizza Hut,1.5,40.79638,-74.01093,7093,15
Pizza Moto,4.5,40.6746224,-74.0007999,11231,15
Plaza Cafeteria - Mount Sinai Hospital,4,40.7894478,-73.9527283,10029,15
St John's Pizza,3,40.6704753,-73.9316446,11213,15
Venice & Vinnie's,4,40.734169,-74.0807114,7306,15
99 Cents Mega Pizza,2,40.7988625,-73.9412384,10035,16
Artichoke Basille's Pizza,4,40.73199089,-73.98369177,10003,16
Bar Cyrk,4,40.71739,-74.0087,10013,16
Barano,4.5,40.71037,-73.96794,11249,16
Big Al's Chicago Style Pizza,3,40.7089577,-74.0116348,10006,16
Carlos Pizza,3.5,40.7045665,-73.9103926,11385,16
Columbus Gourmet Food,3,40.7774544,-73.9786453,10023,16
Company,3.5,40.74745,-74.00041,10001,16
East Side Brick Oven Pizza,3,40.7668083,-73.9625052,10065,16
Fratelli Brick Oven Pizzeria,3.5,40.76701,-73.95693,10021,16
Luzzo's,4,40.73052819,-73.98329138,10003,16
Mangiamo Pizza,4,40.6988869,-73.914444,11237,16
N Y C Fried Chicken & Pizza,1,40.6840401,-73.9120407,11207,16
Nocciola Pizzeria e Trattoria,3.5,40.7953199,-73.94505,10029,16
Palermo Ristorante & Pizzeria,4,40.79627,-74.003677,7047,16
Pino's La Forchetta Pizzeria,3.5,40.67133,-73.9777,11215,16
Pipitone Pizzeria,3.5,40.68973,-73.97885,11201,16
Pizza Hut,1.5,40.8159851,-73.9109533,10455,16
Pizza World,2,40.824981,-73.910183,10451,16
Two Boots Upper West Side,3,40.794354,-73.972445,10025,16
99 Cent Fresh Pizza,3.5,40.759481,-73.992591,10011,17
Ana Maria Pizza,2,40.7555389,-74.0468826,7307,17
Bella Pizza,3,40.767646,-73.920485,11102,17
Delenio,4,40.72641,-74.05019,7302,17
Domino's Pizza,2,40.6524391,-74.0060806,11232,17
Dozzino,3.5,40.7445488,-74.0357895,7030,17
Falafelo's Pizza & Deli,5,40.756669,-73.934534,11101,17
Koronet Pizza,4,40.84461,-73.9393,10032,17
La Trattoria,2.5,40.7515411,-73.9705963,10017,17
Little Italy Pizza,2.5,40.698115,-73.937771,11206,17
Little Italy Pizza & Deli,3.5,40.7275599,-74.00528,10014,17
Oggi Pizza Bar,4.5,40.6601537,-73.9802665,11215,17
Patsy's Pizzeria,3.5,40.7657987,-73.9575845,10065,17
Pie By The Pound,4,40.7330681,-73.9901305,10003,17
Ralph's Italian Restaurant & Pizzeria,3.5,40.83335,-74.0971647,7073,17
Rosario's,4.5,40.77499147,-73.9119817,11105,17
Abitino's Pizza,3,40.76448,-73.99172,10019,18
Dogao,4.5,40.79237,-74.01328,7093,18
Domino's Pizza,2.5,40.7552757,-73.9887619,10018,18
Helen's Pizza,3.5,40.7212067,-74.0456467,7302,18
Lexington Pizza Parlour,4,40.789283,-73.9487429,10029,18
Motorino,4,40.73039,-73.98381,10003,18
Taste of Italy,4,40.7688278,-73.9251073,11102,18
Tufino Pizzeria Napoletana,4,40.77398,-73.9081099,11105,18
Wild Park Slope,4,40.67828,-73.97936,11217,18
Anthony's Pizza & Restaurant,4,40.77479595,-74.02065765,7037,19
Gotham Pizza,3.5,40.74381,-74.00295,10011,19
Harlem Pizza Co.,4,40.80291,-73.95107,10026,19
Inatteso Pizzabar Casano,4,40.7056571,-74.0172056,10004,19
Munch Time Diner,3.5,40.8399606,-73.9168665,10452,19
Pie Pie Pizza,4,40.7989006,-73.9634628,10025,19
Sauce N Cheese,4,40.6625209,-73.939955,11203,19
Stella's Pizza,3,40.7430302,-74.00360584,10011,19
Uncle Paul's Pizza,3.5,40.75473712,-73.97687205,10017,19
Bomber's Stadium Pizza,2,40.8271141,-73.9246216,10451,20
Domino's Pizza,2,40.70215,-73.90391,11385,20
Kennedys Chicken Pizza & Grill,2,40.8344489,-73.9448973,10032,20
Pasha Pizza Pita,3.5,40.67761,-73.95895,11238,20
Pastafina,3.5,40.74189,-73.9811478,10016,20
Phil's Pizza,4,40.7291412,-74.0049973,10014,20
Pizza Beach,3,40.7755954,-73.95658959,10028,20
Planet Green,2.5,40.7399597,-73.9846573,10010,20
Bettolona,4,40.8141032,-73.9597766,10027,21
Bravo Pizza,3,40.7521,-73.98771,10018,21
Brick Oven Pizza 33,3.5,40.74513,-73.97835,10016,21
Chelsea Papaya,3.5,40.74417359,-73.99533358,10011,21
Dar 525,4.5,40.72308,-73.9452699,11222,21
Domino's Pizza,1.5,40.6869299,-73.99058,11201,21
Dough Boys Pizza,3.5,40.7438581,-73.9792886,10016,21
Farinella,2.5,40.7788918,-73.9812255,10023,21
Franks Pizzeria,5,40.78353,-74.03296,7047,21
G & J's Pizzeria,3.5,40.7817958,-73.9459533,10128,21
Italy Pizza,4,40.72761,-73.95266,11222,21
Pastafina Pizzeria,3,40.75255,-73.97338,10017,21
Paz Pizza & Restaurant,4,40.6494408,-74.013382,11220,21
Pizzeria Hoboken,3.5,40.74723069,-74.03571393,7030,21
Pizzeria Prezzemo,3.5,40.74509,-73.93435,11101,21
PN Wood Fired Pizza,4.5,40.74475,-73.98772,10001,21
Prince Street Pizza,4.5,40.72290877,-73.99448633,10012,21
Pronto Pizza,2.5,40.7097837,-74.0122122,10006,21
Rose's Pizza and Pasta,3.5,40.7516241,-73.9924959,10119,21
Sarge's Blvd Pizza,4,40.8357344,-73.9994381,7657,21
Sicily's Best Pizzeria,4.5,40.7052383,-73.9150925,11237,21
Skinny Pizza,2.5,40.7113914,-74.0150528,10281,21
99 Cents Fresh Slice Pizza,3,40.72133909,-73.98816182,10002,22
Basile's Pizza,3,40.73697897,-74.03082073,7030,22
Crown Fried Chicken & Pizza,2.5,40.6995888,-73.9159164,11237,22
Genova's Pizzeria & Restaurant,3,40.7421989,-74.0598602,7306,22
Gino's Pizza,3,40.65234,-73.95902,11226,22
Iggy's Pizzeria,3.5,40.72928,-73.98442,10003,22
Joey Pepperoni's Pizza,3,40.8160553,-73.918129,10455,22
Lenny's Pizza,3,40.66287,-73.95103,11225,22
Pizza On the Edge,3.5,40.829586,-73.9723511,7020,22
Bambino's Pizzeria,3.5,40.742981,-73.9825211,10016,23
Bruno's Catering & Pizza,3,40.7328137,-73.9808686,10009,23
Domino's Pizza,2.5,40.7220612,-73.9892807,10002,23
Domino's Pizza,2,40.7691985,-73.9547689,10021,23
Domino's Pizza,3,40.81187,-73.95439,10027,23
Exquisito,3,40.759429,-73.936482,11106,23
Fornino- Greenpoint,4,40.728949,-73.953999,11222,23
Fortunata's II,3,40.70177,-73.92332,11237,23
King Pizza & Pasta Number 3,3.5,40.6832619,-73.9651871,11238,23
Marchini Homestyle,4,40.73021,-73.91927,11378,23
Mozzarella Kosher,5,40.69979,-73.9539099,11208,23
My Pizza Stop,3,40.7789917,-74.0820389,7094,23
Patsy's Pizzeria,3.5,40.7503,-73.97209,10017,23
Pizza Villa,3,40.7697831,-74.0237225,7086,23
Pomodoro Pizza,2,40.70807,-74.01369,10005,23
Ralpho's Pizza,4.5,40.8394483,-74.0039607,7657,23
Rax's Pizza,3.5,40.6469803,-74.0081635,11220,23
Scott's Pizza Tours,5,40.7215118,-73.9957428,10012,23
Slice,2.5,40.7373199,-73.9972,10011,23
The Dirty Apron Restaurant & Bakery,4,40.6718717,-73.9334135,11213,23
Two Boots West Village,3.5,40.7366979,-74.0014999,10014,23
Two Boots Williamsburg,3.5,40.71697848,-73.95670424,11211,23
Carve,3.5,40.76020423,-73.98735685,10036,24
Domino's Pizza,1,40.6698112,-73.9082336,11212,24
Gino's Pizzeria,2.5,40.6604586,-73.9608298,11225,24
Gotham Pizza,3.5,40.7699799,-73.95172,10075,24
Jumbo Pizza Coffee Shop,3.5,40.82804522,-73.94893632,10031,24
Mike's Pizza,3.5,40.6553802,-73.9564972,11226,24
Pastafina,3,40.76633,-73.96536,10065,24
Table 87 Coal Oven Pizza,4,40.69121933,-73.99734497,11201,24
620 On Caton Pizzeria,3,40.64755,-73.97392,11218,25
Apicius,3.5,40.77516,-73.90366,11105,25
Domino's Pizza,2,40.79378,-73.94285,10029,25
Donna Pizza,3.5,40.8502007,-73.9960327,7650,25
Francesca's Pizza and Pasta,3,40.7817955,-73.9459534,10128,25
Happy Slices,3,40.73798933,-73.984952,10010,25
Lenny's Pizza,2.5,40.6509895,-73.948822,11226,25
Neil's Pizzeria,2.5,40.85015,-74.03222,7643,25
Nonno's Focacceria,2.5,40.75916768,-73.95254669,10044,25
Patsy's Pizzeria,3,40.76177,-73.96575,10022,25
Perfect Pizza,4.5,40.7935007,-74.0198399,7047,25
Puerto Plata Deli Pizzeria,1,40.6711617,-73.9138565,11212,25
Q Train Deli,2,40.649923,-73.962418,11226,25
Silvano Pizzeria,3.5,40.7168579,-73.9805298,10002,25
2 Bros Pizza,3.5,40.74435255,-73.99199244,10010,26
2 Bros Pizza,4,40.7568016,-73.9802399,10036,26
Angelo's Coal Oven Pizzeria,3.5,40.76484,-73.97801,10019,26
Charleston,3.5,40.7181519,-73.9576854,11249,26
City Slice,3.5,40.765419,-73.9908829,10019,26
Famous Original Ray's Pizza,2.5,40.78414,-73.97411,10024,26
Milly's Pizzeria,3.5,40.6990318,-73.9393692,11206,26
Paulie Gee's,4.5,40.72955,-73.95857,11222,26
Roebling Pizza,4,40.70848907,-73.96109407,11211,26
Sammy's House of BBQ,3.5,40.75821,-73.98833,10036,26
Tony Novante's Pizza & Wing Boss,3,40.77798,-74.01683,7087,26
Artichoke Basille's Pizza,3.5,40.68101077,-73.97718139,11217,27
Cafe De Novo,3,40.70812083,-74.01381102,10006,27
Claudine's,4,40.6812515,-73.9938812,11231,27
Clinton Square Pizza,4.5,40.7140447,-73.987204,10002,27
Domino's Pizza,2.5,40.73264,-73.99752,10011,27
Domino's Pizza,2.5,40.7804298,-73.9521637,10128,27
Flacoz Tacoz,2,40.737478,-73.980438,10010,27
Grande Pizza,3,40.73733,-74.03751,7030,27
Just Combo,3.5,40.7766275,-73.91088,11105,27
Lil' Frankie's,4,40.72363,-73.98856,10003,27
Piz-zetta,4.5,40.69128341,-73.99060292,11201,27
Rocky's Pizzeria,3,40.74442,-73.9765,10016,27
Slice,3,40.73734,-73.99719,10011,27
The Place Bar and Lounge,3,40.7278499,-73.9421799,11222,27
2 Bros Pizza,3.5,40.75475,-73.992,10018,28
Bella Donna Pizzeria,3.5,40.713459,-73.9106369,11378,28
Clinton Street Pizza,3.5,40.71979,-73.9846,10002,28
Delizia Uno Italian Eatery,3.5,40.7134502,-74.0083989,10007,28
Domino's Pizza,2,40.76648,-73.91251,11103,28
Donatos Pizza,3,40.7485799,-73.91298,11377,28
Famous Ben's Pizza,3,40.7249184,-74.0024414,10012,28
Lunetta Pizza & Restaurant,3.5,40.77532,-73.95631,10028,28
Nice Pizza,3.5,40.68746,-73.9571799,11238,28
PIzza King,2,40.7522,-73.98635,10018,28
Prince of Pizza,3,40.68594,-74.10251,7002,28
Rosario's At Willow,3,40.7516785,-74.0306702,7030,28
Stella's Pizzeria  and  Restaurant,3,40.719219,-74.0432379,7302,28
Three of Cups,3.5,40.72598,-73.98672,10003,28
Boston Pizza and Restaurant,4.5,40.75977,-73.92013,11103,29
Domino's Pizza,1.5,40.7083206,-73.9435196,11206,29
Domino's Pizza,1,40.8198318,-73.9135895,10455,29
Domino's Pizza,3,40.829,-73.94806,10031,29
Domino's Pizza,1,40.8358307,-73.9208679,10452,29
Emily,4,40.68351923,-73.96641323,11238,29
La Pizza Fresca Ristorante,3,40.73896,-73.98896,10003,29
Marabella Pizzeria Restaurant,3.5,40.74023359,-73.92386618,11104,29
Moustache,3.5,40.7282867,-73.9833544,10009,29
Otto Enoteca Pizzeria,3.5,40.73206054,-73.99619791,10003,29
Pitt Pizzeria,4.5,40.71862,-73.9826,10002,29
Pizza Hut,1.5,40.75268872,-73.90996133,11377,29
Shalom Chia Pizza,4,40.7160072,-73.9873657,10002,29
Theresa's Pizza,4,40.78224,-73.91406,11105,29
Va Bene Pizza & Pasta,3.5,40.7140541,-73.9873199,10002,29
Artichoke Basille's Pizza,3,40.70632,-73.9229299,11237,30
Domino's Pizza,2.5,40.7436295,-73.9949036,10011,30
Garlic Bob's Brick Oven Pizza,3,40.77212,-73.95865,10021,30
Papa John's Pizza,2,40.6914787,-73.9863968,11201,30
Pizza Mercato,3.5,40.73015,-73.9941599,10003,30
Princess Pizzeria,3.5,40.66602,-73.98876,11215,30
Tommy's Famous Cheesesteaks & Pizza,2.5,40.66909782,-73.98672588,11215,30
Tony's Pizza Spot,4.5,40.69047,-73.96013,11205,30
Danny's Pizzeria II,3,40.7077713,-73.9431076,11206,31
Domino's Pizza,2.5,40.777999,-73.9805833,10023,31
Domino's Pizza,2,40.7986099,-73.94116,10029,31
Domino's Pizza,3,40.8013,-73.96487,10025,31
GG's,4,40.72478,-73.98363,10009,31
Lex 54 Fried Chicken & Pizza,2,40.7592355,-73.9701843,10022,31
Paul's On Times Square,4,40.75522,-73.98539,10036,31
Pizza Hut,2,40.663353,-73.9576416,11225,31
Roll and Go Pizza,3,40.72210495,-74.00535093,10013,31
Sbarro,1.5,40.7193604,-74.0020523,10013,31
Village Pizza,4,40.7392502,-74.0031204,10014,31
Blue Seafood Bar,3.5,40.76685,-73.98615,10019,32
Davinci Pizza Restaurant,3,40.7036018,-74.0100937,10004,32
Domino's Pizza,3,40.85056,-73.9375,10033,32
Follia NYC,4,40.73499,-73.98573,10003,32
Liberty Deli & Pizza,3,40.7571983,-73.9765778,10017,32
South Slope Public House,4,40.66377,-73.98437,11215,32
The Best Pizza,3,40.7637097,-73.9885865,10019,32
Vic's Pizza,4,40.71662,-73.98938,10002,32
Wall Street Cafe,3,40.7076302,-74.0107422,10005,32
94 Corner Cafe,3,40.79309,-73.9726,10025,33
Bettola,3.5,40.7836799,-73.97816,10024,33
Il Porto,4,40.6974427,-73.9675197,11205,33
Italian Village Pizzeria,4,40.77274884,-73.95207108,10075,33
Little Italy Pizza,4.5,40.76197512,-73.98985181,10036,33
Mark Cafe,3.5,40.73996,-73.98508,10002,33
Porto By Antonio - Wood Burning Pizza & Pasta,4,40.80488345,-73.99344166,7047,33
San Vino's Pizzeria,1,40.74214,-74.05972,7306,33
Seven & Twenty Eight Pizza,1,40.747509,-73.9933472,10001,33
The Best Italian Pizza,3.5,40.81573,-73.91725,10455,33
Famous Anthony's Pizzeria,3,40.8375397,-73.9272919,10452,34
Joe's Pizza,4,40.7169,-73.9589699,11249,34
L.A. Pizza and Convienence,4,40.7298393,-73.9543762,11222,34
Little Caesars,3,40.7792087,-74.0156736,7087,34
Little Italy Pizza,3.5,40.74758,-73.98481,10016,34
Sam's Famous Pizza,3.5,40.79845,-73.94157,10029,34
Armonie,3.5,40.79979192,-73.94257535,10035,35
B Squared,4.5,40.7615509,-73.9906616,10036,35
Moustache Pitza,4,40.73235455,-74.00529382,10014,35
New Pizza On the Block,4,40.7893885,-74.0060048,7093,35
New Roma Pizza,2.5,40.7191315,-73.9876328,10002,35
Pizza Nova,3,40.8481499,-73.938,10033,35
Turkish Kitchen,4.5,40.8146338,-73.9916429,7010,35
Bread & Tulips,4,40.7420998,-73.9846115,10016,36
Crispy Pizza,3.5,40.7403612,-73.9985568,10011,36
Grand Avenue Pizza,3.5,40.76531779,-73.91842567,11103,36
La Tinajita Pizzeria Cubana,3.5,40.7843859,-74.0149635,7093,36
Speedy Romeo,4,40.68751548,-73.95987447,11238,36
Best Pizza,3.5,40.71555,-73.95339,11211,37
Brooklyn Pizza II,3.5,40.6494408,-73.9627914,11226,37
Burana Pizzeria,4.5,40.788539,-74.006116,7093,37
Cella Luna Pizzeria,3.5,40.78624,-74.01139,7093,37
Emmy Squared,4,40.71224,-73.95567,11211,37
La Bellezza,4,40.75568,-73.9721,10017,37
Mike's Pizza,4,40.75214,-73.934339,11101,37
My Pie,4.5,40.76079,-73.96941,10022,37
One Stop Pizza & Restaurant,4,40.7575417,-73.9314651,11106,37
Pizza Town,3.5,40.680252,-73.977844,11217,37
San Giuseppe,3.5,40.754055,-74.032892,7030,37
Shelter Pizza,3,40.7197055,-73.9607616,11249,37
Teresa's Brick Oven Pizza & Cafe,3.5,40.7601433,-73.9787216,10019,37
